monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17172a,17172a01,release,0:08:00,4668650.733,613168.523,vegetative wild bergamot,sod
17172a,17172a02,fly,0:01:00,na,na,air,sod
17172a,17172a03,fly,0:00:01,4668896.066,613137.289,air - cross edge,edge
17172a,17172a04,fly,0:01:30,na,na,air,na
17172a,17172a05,rest,0:15:00,"4,669,311.73","612,966.32",grass,roadside
17172a,17172a06,fly,0:01:30,na,na,air,na
17172a,17172a07,fly,0:00:01,"4,670,111.65","612,934.10",air - lost signal,soy
17172a,17172a08,fly,0:21:00,na,na,air,corn
17176a,17176a01,release,0:03:30,4668649.344,613158.219,vegetative wild bergamot,sod
17176a,17176a02,fly,0:00:03,na,na,air,sod
17176a,17176a03,fly,0:00:01,4668676.405,613136.937,air,sod
17177a,17177a01,release,0:12:00,4668650.733,613168.523,vegetative wild bergamot,sod
17179a,17179a01,release,0:00:45,4668650.733,613168.523,vegetative wild bergamot,sod
17179a,17179a02,fly,0:00:03,na,na,air,sod
17179a,17179a03,rest,0:00:45,4668654.258,613169.138,grass,sod
17179a,17179a04,fly,0:00:03,na,na,air,sod
17179a,17179a05,rest,0:00:45,4668656.108,613171.842,grass,sod
17179a,17179a06,fly,0:00:03,na,na,air,sod
17179a,17179a07,rest,0:00:45,4668663.08,613169.254,grass,sod
17179a,17179a08,fly,0:00:03,na,na,air,sod
17179a,17179a09,rest,0:00:45,4668665.248,613161.292,grass,sod
17179a,17179a10,fly,0:00:03,na,na,air,sod
17179a,17179a11,rest,0:00:45,4668664.468,613151.169,grass,sod
17179a,17179a12,fly,0:00:03,na,na,air,sod
17179a,17179a13,rest,0:00:45,4668661.886,613143.142,grass,sod
17179a,17179a14,fly,0:00:03,na,na,air,sod
17179a,17179a15,rest,0:00:45,4668660.4,613135.082,grass,sod
17179a,17179a16,fly,0:00:03,na,na,air,sod
17179a,17179a17,rest,0:00:45,4668662.553,613123.691,grass,sod
17179a,17179a18,fly,0:00:03,na,na,air,sod
17179a,17179a19,rest,0:00:45,4668663.232,613116.953,grass,sod
17179a,17179a20,fly,0:00:03,na,na,air,sod
17179a,17179a21,rest,0:00:45,4668662.483,613110.824,grass,sod
17179a,17179a22,fly,0:00:03,na,na,air,sod
17179a,17179a23,rest,0:00:45,4668662.611,613104.234,grass,sod
17179a,17179a24,fly,0:00:03,na,na,air,sod
17179a,17179a25,rest,0:00:45,4668669.503,613085.678,grass,sod
17179b,17179b01,release,0:09:00,4668650.733,613168.523,vegetative wild bergamot,sod
17179b,17179b02,fly,0:00:03,na,na,air,sod
17179b,17179b03,rest,0:00:30,4668652.221,613168.701,grass,sod
17179b,17179b04,fly,0:00:03,na,na,air,sod
17179b,17179b05,rest,0:00:30,4668650.924,613166.457,grass,sod
17179b,17179b06,fly,0:00:03,na,na,air,sod
17179b,17179b07,rest,0:00:30,4668648.595,613165.873,grass,sod
17179b,17179b08,fly,0:00:03,na,na,air,sod
17179b,17179b09,rest,0:00:01,4668641.566,613149.293,grass,sod
17181a,17181a01,release,0:01:00,4668650.733,613168.523,vegetative wild bergamot,sod
17181a,17181a02,fly,0:00:03,na,na,air,sod
17181a,17181a03,rest,0:00:30,4668652.74,613169.694,grass,sod
17181a,17181a04,fly,0:00:03,na,na,air,sod
17181a,17181a05,fly,0:00:01,4668641.671,613191.628,air,sod
17182a,17182a01,release,0:12:00,4668650.733,613168.523,vegetative wild bergamot,sod
17184a,17184a01,release,0:02:00,4649087.151,445305.213,vegetative wild bergamot,pasture
17184a,17184a02,fly,0:00:30,na,na,air,na
17184a,17184a03,rest,0:10:00,4649152.195,445447.941,tree,roadside
17186a,17186a01,release,0:00:15,4649065.09,445323.624,vegetative wild bergamot,pasture
17186a,17186a02,fly,0:00:03,na,na,air,pasture
17186a,17186a03,feed,0:00:01,4649067.416,445288.544,red clover,pasture
17186b,17186b01,release,0:00:22,4649065.09,445323.624,vegetative wild bergamot,pasture
17186b,17186b02,fly,0:00:03,na,na,air,pasture
17186b,17186b03,rest,0:00:01,4649054.603,445284.149,grass,pasture
17186b,17186b04,fly,0:00:03,na,na,air,pasture
17186b,17186b05,feed,0:00:01,4649037.001,445277.619,red clover,pasture
17186c,17186c01,release,0:00:29,4649065.09,445323.624,vegetative wild bergamot,pasture
17186c,17186c02,fly,0:04:30,na,na,air,pasture
17186c,17186c03,lost,0:00:01,4648975.306,445286.503,air - last visual,pasture
17196a,17196a01,release,0:10:00,4649065.09,445323.624,vegetative wild bergamot,pasture
17202a,17202a01,release,0:00:06,4649065.09,445323.624,vegetative wild bergamot,pasture
17202a,17202a02,fly,0:00:03,na,na,air,pasture
