monarchrunid,monarchlocationid,uniqueid,order,behaviorclassification,date,time,datetime,duration,locationn,locatione,surface,landcoverclassification,steplength,bearing
17171a,17171a01,138,1,release,7/30/2017,9:57,2017-07-20t11:02:18,0:01:17,4668650.73,613168.52,vegetative wild bergamot,sod,151.0723833,34.02351512100
17171a,17171a02,139,2,fly,7/30/2017,9:57,2017-07-20t11:02:19,0:00:01,4668775.94,613253.05,air,sod,,
17172a,17172a01,140,1,release,7/30/2017,11:02,2017-07-20t11:02:20,0:08:00,4668650.73,613168.52,vegetative wild bergamot,sod,691.2350107,342.99112052900
17172a,17172a03,142,3,rest,7/30/2017,11:02,2017-07-20t11:02:22,0:15:00,4669311.73,612966.32,grass,roadside,800.5686322,357.69342855300
17172a,17172a04,143,4,fly,7/30/2017,11:02,2017-07-20t11:02:23,0:00:01,4670111.65,612934.1,air  lost signal,soy,,
17176a,17176a01,144,1,release,7/29/2017,1:10,2017-07-20t11:02:24,0:03:30,4668649.34,613158.22,vegetative wild bergamot,sod,34.43288109,321.82875461100
17176a,17176a02,145,2,fly,7/29/2017,1:10,2017-07-20t11:02:25,0:00:01,4668676.41,613136.94,air,sod,,
17177a,17177a01,146,1,release,7/30/2017,9:13,2017-07-20t11:02:26,0:12:00,4668650.73,613168.52,vegetative wild bergamot,sod,,
17179a,17179a01,147,1,release,7/30/2017,10:24,2017-07-20t11:02:27,0:00:45,4668650.73,613168.52,vegetative wild bergamot,sod,3.584034039,9.96167645181
17179a,17179a02,148,2,rest,7/30/2017,10:24,2017-07-20t11:02:28,0:00:45,4668654.26,613169.14,grass,sod,3.27299557,55.58163551240
17179a,17179a03,149,3,rest,7/30/2017,10:24,2017-07-20t11:02:29,0:00:45,4668656.11,613171.84,grass,sod,7.435657335,339.61530950500
17179a,17179a04,150,4,rest,7/30/2017,10:24,2017-07-20t11:02:30,0:00:45,4668663.08,613169.25,grass,sod,8.250484834,285.24902794300
17179a,17179a05,151,5,rest,7/30/2017,10:24,2017-07-20t11:02:31,0:00:45,4668665.25,613161.29,grass,sod,10.15001478,265.59263576800
17179a,17179a06,152,6,rest,7/30/2017,10:24,2017-07-20t11:02:32,0:00:45,4668664.47,613151.17,grass,sod,8.434293094,252.18804035000
